Tetris,Nintendo,01/06/1989,Game Boy
Alleyway,Nintendo,01/08/1989,Game Boy
Baseball,Nintendo,01/08/1989,Game Boy
Super Mario Land,Nintendo,01/08/1989,Game Boy
Tennis,Nintendo,01/08/1989,Game Boy
Castlevania: The Adventure,Konami,01/12/1989,Game Boy
Wizards & Warriors X: Fortress of Fear,Acclaim,01/01/1990,Game Boy
Motocross Maniacs,Ultra Soft,01/01/1990,Game Boy
Hyper Lode Runner,Bandai,01/02/1990,Game Boy
Boxxle,FCI,01/02/1990,Game Boy
Golf,Nintendo,01/02/1990,Game Boy
Solar Striker,Nintendo,01/02/1990,Game Boy
Kwirk,Acclaim,01/03/1990,Game Boy
Malibu Beach Volleyball,Activision,01/03/1990,Game Boy
Revenge of the 'Gator,Hal America,01/03/1990,Game Boy
"Bugs Bunny Crazy Castle, The",Nintendo,01/03/1990,Game Boy
Boomer's Adventure in Asmik World,Asmik,01/04/1990,Game Boy
Fist of the North Star,Electro Brain,01/04/1990,Game Boy
NFL Football,Konami,01/04/1990,Game Boy
Heiankyo Alien,Meldac,01/04/1990,Game Boy
World Bowling,Romstar,01/04/1990,Game Boy
Q Billion,Seta,01/04/1990,Game Boy
Nemesis,Ultra Soft,01/04/1990,Game Boy
Flipull ,Taito Software,01/04/1990,Game Boy
Qix,Nintendo,01/05/1990,Game Boy
Shanghai,Hal America,01/06/1990,Game Boy
Batman,Sunsoft,01/06/1990,Game Boy
Penguin Wars,Ascii,01/07/1990,Game Boy
Gargoyle's Quest,Capcom,01/07/1990,Game Boy
Lock 'N Chase,Data East,01/07/1990,Game Boy
Bases Loaded,Jaleco,01/07/1990,Game Boy
"Amazing Spider-Man , The",LJN,01/07/1990,Game Boy
Paperboy,Mindscape,01/07/1990,Game Boy
Dexterity,SNK,01/07/1990,Game Boy
Daedalian Opus,Vic Tokai,01/07/1990,Game Boy
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Ultra Soft,01/08/1990,Game Boy
Double Dragon,Tradewest,01/08/1990,Game Boy
Heavyweight Championship Boxing,Activision,01/09/1990,Game Boy
Catrap,Asmik,01/09/1990,Game Boy
Wheel of Fortune,Gametek,01/09/1990,Game Boy
Skate Or Die: Bad 'N Rad,Konami,01/09/1990,Game Boy
Final Fantasy Legend,Square Soft,01/09/1990,Game Boy
Cosmo Tank ,Atlus Software,01/09/1990,Game Boy
Pipe Dream ,Bullet Proof Software,01/09/1990,Game Boy
Mercenary Force,Meldac,01/10/1990,Game Boy
Balloon Kid,Nintendo,01/10/1990,Game Boy
Mr. Chin's Gourmet Paradise,Romstar,01/10/1990,Game Boy
Snoopy's Magic Show,Seika,01/10/1990,Game Boy
Godzilla,Toho,01/10/1990,Game Boy
Ishido: The Way of Stones,Ascii,01/11/1990,Game Boy
Ninja Boy,Culture Brain,01/11/1990,Game Boy
Side Pocket,Data East,01/11/1990,Game Boy
Bubble Ghost,FCI,01/11/1990,Game Boy
Serpent,Taxan,01/11/1990,Game Boy
DuckTales,THQ,01/11/1990,Game Boy
Ghostbusters II,Activision,01/12/1990,Game Boy
Hal Wrestling,Hal America,01/12/1990,Game Boy
Dead Heat Scramble,Electro Brain,01/12/1990,Game Boy
In Your Face,Jaleco,01/12/1990,Game Boy
Amazing Penguin,Natsume,01/12/1990,Game Boy
Dr. Mario,Nintendo,01/12/1990,Game Boy
Play Action Football,Nintendo,01/12/1990,Game Boy
RoboCop,Ocean,01/12/1990,Game Boy
Quarth,Ultra Soft,01/12/1990,Game Boy
Chase HQ ,Taito Software,01/12/1990,Game Boy
Power Racer,Tecmo,01/12/1990,Game Boy
"Chessmaster, The",Hi-Tech,01/01/1991,Game Boy
Dragon's Lair: The Legend,Sony Imagesoft,01/01/1991,Game Boy
Power Mission,NTVIC,01/01/1991,Game Boy
Rolan's Curse American,Sammy,01/01/1991,Game Boy
Battle Bull,Seta,01/01/1991,Game Boy
Gremlins 2: The New Batch,Sunsoft,01/01/1991,Game Boy
Burai Fighter Deluxe,Taxan,01/01/1991,Game Boy
"Game of Harmony, The",Accolade,01/02/1991,Game Boy
Kung Fu Master,Irem,01/02/1991,Game Boy
NBA All-Star Challenge,LJN,01/02/1991,Game Boy
F-1 Race,Nintendo,01/02/1991,Game Boy
Radar Mission,Nintendo,01/02/1991,Game Boy
Operation C ,Ultra Soft,01/02/1991,Game Boy
Cyraid,Ascii,01/03/1991,Game Boy
Super Scrabble,Milton Bradley,01/03/1991,Game Boy
Burgertime Deluxe,Data East,01/03/1991,Game Boy
Jeopardy!,Gametek,01/03/1991,Game Boy
Maru's Mission,Jaleco,01/03/1991,Game Boy
Nobunaga's Ambition,Koei,01/03/1991,Game Boy
LoopZ,Mindscape,01/03/1991,Game Boy
Bubble Bobble ,Taito Software,01/03/1991,Game Boy
Extra Bases,Bandai,01/04/1991,Game Boy
Tasmania Story,FCI,01/04/1991,Game Boy
WWF Superstars,LJN,01/04/1991,Game Boy
Pac Man,Namco,01/04/1991,Game Boy
Fish Dude,Sofel,01/04/1991,Game Boy
Solomon's Club,Tecmo,01/04/1991,Game Boy
"Rescue of Princess Blobette, The",Absolute,01/05/1991,Game Boy
Go! Go! Tank,Electro Brain,01/05/1991,Game Boy
"Hunt for Red October, The",Hi-Tech,01/05/1991,Game Boy
R-Type,Irem,01/05/1991,Game Boy
Marble Madness,Mindscape,01/05/1991,Game Boy
Mickey's Dangerous Chase,Nintendo,01/05/1991,Game Boy
Hatris ,Bullet Proof Software,01/05/1991,Game Boy
Castelian,Triffix,01/05/1991,Game Boy
Caesar's Palace,Virgin Interactive,01/06/1991,Game Boy
Tail 'Gator,Natsume,01/06/1991,Game Boy
Nintendo World Cup Soccer,Nintendo,01/06/1991,Game Boy
"Sword of Hope, The",Seika,01/06/1991,Game Boy
Spud's Adventure ,Bullet Proof Software,01/06/1991,Game Boy
Skate Or Die: Tour de Thrash,EA Sports,01/06/1991,Game Boy
Bo Jackson's Hit and Run! Baseball and Football,THQ,01/06/1991,Game Boy
Sneaky Snakes,Tradewest,01/06/1991,Game Boy
Mysterium,Asmik,01/07/1991,Game Boy
Battle Unit Zeoth,Jaleco,01/07/1991,Game Boy
"Punisher, The",LJN,01/07/1991,Game Boy
Klax,Mindscape,01/07/1991,Game Boy
Castlevania II: Belmont's Revenge,Konami,01/08/1991,Game Boy
Bill & Ted's Excellent Game Boy Adventure,LJN,01/08/1991,Game Boy
Blades of Steel ,Ultra Soft,01/08/1991,Game Boy
Trax,Hal America,01/09/1991,Game Boy
Crystal Quest,Data East,01/09/1991,Game Boy
Infogenius French Language Translator,Gametek,01/09/1991,Game Boy
Infogenius Personal Organizer,Gametek,01/09/1991,Game Boy
Infogenius Spanish Language Translator,Gametek,01/09/1991,Game Boy
Infogenius Spell Checker,Gametek,01/09/1991,Game Boy
Infogenius Travel Guide,Gametek,01/09/1991,Game Boy
Altered Space,Sony Imagesoft,01/09/1991,Game Boy
Spot,Virgin Interactive,01/09/1991,Game Boy
Fortified Zone,Jaleco,01/09/1991,Game Boy
Choplifter II,JVC,01/09/1991,Game Boy
Gauntlet II,Mindscape,01/09/1991,Game Boy
"Bugs Bunny Crazy Castle 2 , The",Nintendo,01/09/1991,Game Boy
Navy Seals,Ocean,01/09/1991,Game Boy
Tecmo Bowl,Tecmo,01/09/1991,Game Boy
Aerostar,Vic Tokai,01/09/1991,Game Boy
Super R.C. Pro-Am Racing,Nintendo,01/10/1991,Game Boy
Atomic Punk ,Hudson Soft,01/10/1991,Game Boy
Bart Simpson's Escape from Camp Deadly,Acclaim,01/11/1991,Game Boy
Turrican,Accolade,01/11/1991,Game Boy
Brainbender,Electro Brain,01/11/1991,Game Boy
Who Framed Roger Rabbit?,Capcom,01/11/1991,Game Boy
Kid Icarus: Of Myths and Monsters,Nintendo,01/11/1991,Game Boy
Metroid II: Return of Samus,Nintendo,01/11/1991,Game Boy
RoboCop 2,Ocean,01/11/1991,Game Boy
Final Fantasy Adventure ,Square Soft,01/11/1991,Game Boy
Final Fantasy Legend II ,Square Soft,01/11/1991,Game Boy
Home Alone,THQ,01/11/1991,Game Boy
Battletoads,Tradewest,01/11/1991,Game Boy
Double Dragon II,Acclaim,01/12/1991,Game Boy
Dick Tracy,Bandai,01/12/1991,Game Boy
Monopoly,Parker Brothers,01/12/1991,Game Boy
Hudson Hawk,Sony Imagesoft,01/12/1991,Game Boy
Bill Elliot's Nascar Fast Tracks,Konami,01/12/1991,Game Boy
Double Dribble: 5 on 5,Konami,01/12/1991,Game Boy
Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,01/12/1991,Game Boy
Mega Man: Dr. Wily's Revenge,Nintendo,01/12/1991,Game Boy
Elevator Action ,Taito Software,01/12/1991,Game Boy
Faceball 2000 ,Bullet Proof Software,01/12/1991,Game Boy
Ninja Gaiden Shadow,Tecmo,01/12/1991,Game Boy
Snow Bros. Jr.,Capcom,01/01/1992,Game Boy
Prince of Persia,Virgin Interactive,01/01/1992,Game Boy
Gradius: The Interstellar Assault,Konami,01/01/1992,Game Boy
Beetlejuice,LJN,01/01/1992,Game Boy
Terminator 2: Judgment Day,LJN,01/01/1992,Game Boy
"Addams Family, The",Ocean,01/01/1992,Game Boy
Attack of the Killer Tomatoes,THQ,01/01/1992,Game Boy
Asteroids,Accolade,01/02/1992,Game Boy
Boggle Plus,Parker Brothers,01/02/1992,Game Boy
Q*Bert,Jaleco,01/02/1992,Game Boy
Tiny Toon Adventures: Babs' Big Break,Konami,01/02/1992,Game Boy
Days of Thunder,Mindscape,01/02/1992,Game Boy
Mega Man II,Nintendo,01/02/1992,Game Boy
Fastest Lap,NTVIC,01/02/1992,Game Boy
Adventure Island ,Hudson Soft,01/02/1992,Game Boy
Star Trek ,Ultra Soft,01/02/1992,Game Boy
Amazing Tater ,Atlus Software,01/02/1992,Game Boy
Jordan vs. Bird,EA Sports,01/02/1992,Game Boy
Blaster Master Boy,Sunsoft,01/02/1992,Game Boy
Missile Command,Accolade,01/03/1992,Game Boy
Soccer Mania,Sony Imagesoft,01/03/1992,Game Boy
Ultra Golf ,Ultra Soft,01/03/1992,Game Boy
World Circuit Series ,Ultra Soft,01/03/1992,Game Boy
"Adventures of Star Saver, The ",Taito Software,01/03/1992,Game Boy
"Flash, The",THQ,01/03/1992,Game Boy
Fighting Simulator 2-in-1,Culture Brain,01/04/1992,Game Boy
Square Deal,DTMC,01/04/1992,Game Boy
Nail 'N Scale,Data East,01/04/1992,Game Boy
Hook,Sony Imagesoft,01/04/1992,Game Boy
Paperboy 2,Mindscape,01/04/1992,Game Boy
Super Hunchback,Ocean,01/04/1992,Game Boy
Turn and Burn: The F-14 Dogfight Simulator,Absolute,01/05/1992,Game Boy
NBA All-Star Challenge 2,LJN,01/05/1992,Game Boy
Batman: Return of the Joker,Sunsoft,01/05/1992,Game Boy
Jack Nicklaus Golf,Tradewest,01/05/1992,Game Boy
High Stakes Gambling,Electro Brain,01/06/1992,Game Boy
Boxxle II,FCI,01/06/1992,Game Boy
Pit-Fighter,THQ,01/06/1992,Game Boy
"Blues Brothers, The",Titus,01/06/1992,Game Boy
Ultima: Runes of Virtue,FCI,01/07/1992,Game Boy
Prophecy: The Viking Child,Gametek,01/07/1992,Game Boy
Jeep Jamboree: Off Road Adventure,Virgin Interactive,01/07/1992,Game Boy
Spanky's Quest,Natsume,01/07/1992,Game Boy
Wave Race,Nintendo,01/07/1992,Game Boy
Yoshi,Nintendo,01/07/1992,Game Boy
Knight's Quest ,Taito Software,01/07/1992,Game Boy
Double Dragon III: The Arcade Game,Acclaim,01/08/1992,Game Boy
Spider-Man 2,LJN,01/08/1992,Game Boy
WWF Superstars 2: Steel Cage Challenge,LJN,01/08/1992,Game Boy
Kirby's Dream Land,Nintendo,01/08/1992,Game Boy
Ferrari Grand Prix Challenge,Acclaim,01/09/1992,Game Boy
George Foreman's KO Boxing,Acclaim,01/09/1992,Game Boy
"Simpsons: Bart vs. the Juggernauts, The",Acclaim,01/09/1992,Game Boy
Toxic Crusaders,Bandai,01/09/1992,Game Boy
4-in-1 Funpak: Volume 1,Interplay,01/09/1992,Game Boy
Word Zap,Jaleco,01/09/1992,Game Boy
Spy vs. Spy: Operation Booby Trap,Kemco,01/09/1992,Game Boy
Track & Field,Konami,01/09/1992,Game Boy
Roger Clemens' MVP Baseball,LJN,01/09/1992,Game Boy
Dig Dug,Namco,01/09/1992,Game Boy
Ninja Taro American,Sammy,01/09/1992,Game Boy
Mouse Trap Hotel,Milton Bradley,01/10/1992,Game Boy
Bionic Commando,Capcom,01/10/1992,Game Boy
Lazlo's Leap,DTMC,01/10/1992,Game Boy
Out of Gas,FCI,01/10/1992,Game Boy
Barbie Game Girl,Hi-Tech,01/10/1992,Game Boy
Tom & Jerry,Hi-Tech,01/10/1992,Game Boy
Miner 2049er,Mindscape,01/10/1992,Game Boy
Speedball II,Mindscape,01/10/1992,Game Boy
Xenon 2,Mindscape,01/10/1992,Game Boy
Rolan's Curse II American,Sammy,01/10/1992,Game Boy
Hit the Ice ,Taito Software,01/10/1992,Game Boy
"Jetsons: Robot Panic, The ",Taito Software,01/10/1992,Game Boy
Looney Tunes,Sunsoft,01/10/1992,Game Boy
Home Alone II: Lost in New York,THQ,01/10/1992,Game Boy
Rocky and Bullwinkle,THQ,01/10/1992,Game Boy
Swamp Thing,THQ,01/10/1992,Game Boy
Bionic Battler,Electro Brain,01/11/1992,Game Boy
Kingdom Crusade,Electro Brain,01/11/1992,Game Boy
Wordtris,Spectrum Holobyte,01/11/1992,Game Boy
"Incredible Crash Dummies, The",LJN,01/11/1992,Game Boy
T2: The Arcade Game,LJN,01/11/1992,Game Boy
Star Wars,Nintendo,01/11/1992,Game Boy
Super Mario Land 2: 6 Golden Coins,Nintendo,01/11/1992,Game Boy
Mr. Do!,Ocean,01/11/1992,Game Boy
"Ren & Stimpy Show: Space Cadet Adventures, The",THQ,01/11/1992,Game Boy
Super Off Road,Tradewest,01/11/1992,Game Boy
Centipede,Accolade,01/12/1992,Game Boy
Universal Soldier,Accolade,01/12/1992,Game Boy
Best of the Best: Championship Karate,Electro Brain,01/12/1992,Game Boy
Mega Man III,Capcom,01/12/1992,Game Boy
Tale Spin,Capcom,01/12/1992,Game Boy
"Humans, The",Gametek,01/12/1992,Game Boy
Avenging Spirit,Jaleco,01/12/1992,Game Boy
Dr. Franken,Kemco,01/12/1992,Game Boy
Battleship,Mindscape,01/12/1992,Game Boy
Darkman,Ocean,01/12/1992,Game Boy
Bonk's Adventure ,Hudson Soft,01/12/1992,Game Boy
Megalit,Takara,01/12/1992,Game Boy
Krusty's Funhouse,Acclaim,01/01/1993,Game Boy
"Empire Strikes Back , The",Capcom,01/01/1993,Game Boy
Spot's Cool Adventure,Virgin Interactive,01/01/1993,Game Boy
Top Gun: Guts & Glory,Konami,01/01/1993,Game Boy
Alien3,LJN,01/01/1993,Game Boy
Race Drivin',THQ,01/01/1993,Game Boy
Darkwing Duck,Capcom,01/02/1993,Game Boy
"Little Mermaid, The",Nintendo,01/02/1993,Game Boy
Adventure Island II: Aliens in Paradise ,Hudson Soft,01/02/1993,Game Boy
"Flintstones: King Rock Treasure Island, The ",Taito Software,01/02/1993,Game Boy
Sumo Fighter,DTMC,01/03/1993,Game Boy
Tumble Pop,Data East,01/03/1993,Game Boy
Kid Dracula,Konami,01/03/1993,Game Boy
Milon's Secret Castle ,Hudson Soft,01/03/1993,Game Boy
Ninja Boy 2,Culture Brain,01/04/1993,Game Boy
"New Chessmaster, The",Hi-Tech,01/04/1993,Game Boy
Great Greed,Namco,01/04/1993,Game Boy
Lethal Weapon,Ocean,01/04/1993,Game Boy
Pyramids of Ra ,Matchbox Toys,01/04/1993,Game Boy
Top Rank Tennis,Nintendo,01/05/1993,Game Boy
Star Trek: The Next Generation,Absolute,01/06/1993,Game Boy
Star Hawk,Accolade,01/06/1993,Game Boy
Joe & Mac,Data East,01/06/1993,Game Boy
Robin Hood: Prince of Thieves ,Virgin Interactive,01/06/1993,Game Boy
Raging Fighter,Konami,01/06/1993,Game Boy
F-15 Strike Eagle,Microprose,01/06/1993,Game Boy
Cool World,Ocean,01/06/1993,Game Boy
Titus the Fox,Titus,01/06/1993,Game Boy
Battletoads in Ragnarok's World,Tradewest,01/06/1993,Game Boy
Muhammad Ali Heavyweight Boxing ,Virgin Interactive,01/07/1993,Game Boy
Spider-Man 3: Invasion of the Spider Slayers,LJN,01/07/1993,Game Boy
"Addams Family: Pugsley's Scavenger Hunt, The",Ocean,01/07/1993,Game Boy
Felix the Cat ,Hudson Soft,01/07/1993,Game Boy
Bubble Bobble: Part 2 ,Taito Software,01/07/1993,Game Boy
Speedy Gonzales,Sunsoft,01/07/1993,Game Boy
Nigel Mansell's World Championship Racing,Gametek,01/08/1993,Game Boy
Pinball Dreams,Gametek,01/08/1993,Game Boy
Tesserae,Gametek,01/08/1993,Game Boy
4-in-1 Funpak: Volume 2,Interplay,01/08/1993,Game Boy
Goal!,Jaleco,01/08/1993,Game Boy
"Legend of Zelda: Link's Awakening, The",Nintendo,01/08/1993,Game Boy
Jurassic Park,Ocean,01/08/1993,Game Boy
Final Fantasy Legend III ,Square Soft,01/08/1993,Game Boy
Mortal Kombat,Acclaim,01/09/1993,Game Boy
Bram Stoker's Dracula,Sony Imagesoft,01/09/1993,Game Boy
WWF King of the Ring,LJN,01/09/1993,Game Boy
Popeye II,Activision,01/10/1993,Game Boy
"Real Ghostbusters , The",Activision,01/10/1993,Game Boy
Sports Illustrated: Championship Football & Baseball,Malibu Games,01/10/1993,Game Boy
Tom & Jerry: Frantic Antics,Hi-Tech,01/10/1993,Game Boy
We're Back!: A Dinosaur's Story,Hi-Tech,01/10/1993,Game Boy
Gear Works,Sony Imagesoft,01/10/1993,Game Boy
Last Action Hero,Sony Imagesoft,01/10/1993,Game Boy
Ms. Pac Man,Namco,01/10/1993,Game Boy
Buster Bros. ,Hudson Soft,01/10/1993,Game Boy
"Ren & Stimpy Show: Veediots!, The",THQ,01/10/1993,Game Boy
